name,sellingDate,size,resellPrice
"Friday, October 13, 2017",$580,adidas Yeezy Boost 350 V2 Zebra,9.5
"Friday, October 13, 2017",$565,adidas Yeezy Boost 350 V2 Zebra,9
"Friday, October 13, 2017",$601,adidas Yeezy Boost 350 V2 Zebra,10
"Friday, October 13, 2017",$555,adidas Yeezy Boost 350 V2 Zebra,7.5
"Friday, October 13, 2017",$550,adidas Yeezy Boost 350 V2 Zebra,7.5
"Friday, October 13, 2017",$630,adidas Yeezy Boost 350 V2 Zebra,9.5
"Friday, October 13, 2017",$615,adidas Yeezy Boost 350 V2 Zebra,9.5
"Friday, October 13, 2017",$560,adidas Yeezy Boost 350 V2 Zebra,8.5
"Friday, October 13, 2017",$850,adidas Yeezy Boost 350 V2 Zebra,6
"Friday, October 13, 2017","$1,000",adidas Yeezy Boost 350 V2 Zebra,4.5
"Friday, October 13, 2017",$879,adidas Yeezy Boost 350 V2 Zebra,6.5
"Friday, October 13, 2017",$735,adidas Yeezy Boost 350 V2 Zebra,5.5
"Friday, October 13, 2017",$776,adidas Yeezy Boost 350 V2 Zebra,12.5
"Friday, October 13, 2017",$747,adidas Yeezy Boost 350 V2 Zebra,16
