"","name","size","resellPrice","sellDate","day","date","sellMonth","model","color","retailPrice","releaseDate","releaseMonth","resellPercentage"
"124","adidas Yeezy Boost 350 V2 Zebra",11.5,650,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.95454545454545
"125","adidas Yeezy Boost 350 V2 Zebra",9.5,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.72727272727273
"126","adidas Yeezy Boost 350 V2 Zebra",14,767,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.48636363636364
"127","adidas Yeezy Boost 350 V2 Zebra",6.5,665,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.02272727272727
"128","adidas Yeezy Boost 350 V2 Zebra",13,700,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.18181818181818
"129","adidas Yeezy Boost 350 V2 Zebra",12,670,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.04545454545455
"130","adidas Yeezy Boost 350 V2 Zebra",10.5,584,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.65454545454545
"131","adidas Yeezy Boost 350 V2 Zebra",10.5,589,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.67727272727273
"132","adidas Yeezy Boost 350 V2 Zebra",10.5,598,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.71818181818182
"133","adidas Yeezy Boost 350 V2 Zebra",9,540,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.45454545454545
"134","adidas Yeezy Boost 350 V2 Zebra",12,620,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.81818181818182
"135","adidas Yeezy Boost 350 V2 Zebra",10,575,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.61363636363636
"136","adidas Yeezy Boost 350 V2 Zebra",11,592,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.69090909090909
"137","adidas Yeezy Boost 350 V2 Zebra",11,593,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.69545454545455
"138","adidas Yeezy Boost 350 V2 Zebra",11,590,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.68181818181818
"139","adidas Yeezy Boost 350 V2 Zebra",9.5,580,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.63636363636364
"140","adidas Yeezy Boost 350 V2 Zebra",9.5,584,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.65454545454545
"141","adidas Yeezy Boost 350 V2 Zebra",10,579,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.63181818181818
"142","adidas Yeezy Boost 350 V2 Zebra",9,570,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.59090909090909
"143","adidas Yeezy Boost 350 V2 Zebra",9,570,2017-10-16,"Monday"," October 16, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.59090909090909
